Fecha,Nombre festivo,Grupo,Descripción
20/02/2012,Día de los Presidentes,Nacional,Reconocimiento a todos los presidentes de EE.UU.
23/04/2012,Día de los Caídos,Nacional,Honra a los militares estadounidenses fallecidos en servicio.
03/09/2012,Día del Trabajo,Nacional,Reconocimiento a los trabajadores y sus contribuciones.
08/10/2012,Día de Colón,Nacional,Conmemoración de la llegada de Cristóbal Colón a América.
22/11/2012,Día de Acción de Gracias,Nacional,Día de agradecimiento por la cosecha y bendiciones del año.
17/09/2012,Rosh Hashaná,Judaísmo,"Año Nuevo judío, marcado por oración y reflexión."
26/09/2012,Yom Kipur,Judaísmo,"Día del Perdón en el judaísmo, dedicado al ayuno y la oración."
20/07/2012,Ramadán,Islam,Mes sagrado de ayuno y oración para los musulmanes.
19/08/2012,Eid al-Fitr,Islam,Fiesta que marca el fin del Ramadán en el islam.
13/11/2012,Diwali,Hinduismo,"Festival hindú de las luces, que simboliza la victoria del bien sobre el mal."
05/05/2012,Vesak,Budismo,"Celebración budista del nacimiento, iluminación y muerte de Buda."
01/01/2013,Año Nuevo,Nacional,Celebración del primer día del año según el calendario gregoriano.
04/07/2013,Día de la Independencia,Nacional,Conmemoración de la independencia de EE.UU. en 1776.
11/11/2013,Día de los Veteranos,Nacional,Honra a los veteranos de las Fuerzas Armadas de EE.UU.
25/12/2013,Navidad,Nacional,Fiesta cristiana que celebra el nacimiento de Jesús.
17/03/2013,Día de San Patricio,Nacional,"Fiesta en honor a San Patricio, patrón de Irlanda."
19/06/2013,Juneteenth,Nacional,Conmemoración del fin de la esclavitud en EE.UU. en 1865.
21/01/2013,Día de Martin Luther King Jr.,Nacional,Honra al líder de los derechos civiles Martin Luther King Jr.
18/02/2013,Día de los Presidentes,Nacional,Reconocimiento a todos los presidentes de EE.UU.
22/04/2013,Día de los Caídos,Nacional,Honra a los militares estadounidenses fallecidos en servicio.
02/09/2013,Día del Trabajo,Nacional,Reconocimiento a los trabajadores y sus contribuciones.
14/10/2013,Día de Colón,Nacional,Conmemoración de la llegada de Cristóbal Colón a América.
28/11/2013,Día de Acción de Gracias,Nacional,Día de agradecimiento por la cosecha y bendiciones del año.
05/09/2013,Rosh Hashaná,Judaísmo,"Año Nuevo judío, marcado por oración y reflexión."
14/09/2013,Yom Kipur,Judaísmo,"Día del Perdón en el judaísmo, dedicado al ayuno y la oración."
09/07/2013,Ramadán,Islam,Mes sagrado de ayuno y oración para los musulmanes.
08/08/2013,Eid al-Fitr,Islam,Fiesta que marca el fin del Ramadán en el islam.
03/11/2013,Diwali,Hinduismo,"Festival hindú de las luces, que simboliza la victoria del bien sobre el mal."
25/05/2013,Vesak,Budismo,"Celebración budista del nacimiento, iluminación y muerte de Buda."
01/01/2014,Año Nuevo,Nacional,Celebración del primer día del año según el calendario gregoriano.
04/07/2014,Día de la Independencia,Nacional,Conmemoración de la independencia de EE.UU. en 1776.
11/11/2014,Día de los Veteranos,Nacional,Honra a los veteranos de las Fuerzas Armadas de EE.UU.
25/12/2014,Navidad,Nacional,Fiesta cristiana que celebra el nacimiento de Jesús.
17/03/2014,Día de San Patricio,Nacional,"Fiesta en honor a San Patricio, patrón de Irlanda."
19/06/2014,Juneteenth,Nacional,Conmemoración del fin de la esclavitud en EE.UU. en 1865.
20/01/2014,Día de Martin Luther King Jr.,Nacional,Honra al líder de los derechos civiles Martin Luther King Jr.
17/02/2014,Día de los Presidentes,Nacional,Reconocimiento a todos los presidentes de EE.UU.
21/04/2014,Día de los Caídos,Nacional,Honra a los militares estadounidenses fallecidos en servicio.
01/09/2014,Día del Trabajo,Nacional,Reconocimiento a los trabajadores y sus contribuciones.
13/10/2014,Día de Colón,Nacional,Conmemoración de la llegada de Cristóbal Colón a América.
27/11/2014,Día de Acción de Gracias,Nacional,Día de agradecimiento por la cosecha y bendiciones del año.
25/09/2014,Rosh Hashaná,Judaísmo,"Año Nuevo judío, marcado por oración y reflexión."
04/10/2014,Yom Kipur,Judaísmo,"Día del Perdón en el judaísmo, dedicado al ayuno y la oración."
28/06/2014,Ramadán,Islam,Mes sagrado de ayuno y oración para los musulmanes.
28/07/2014,Eid al-Fitr,Islam,Fiesta que marca el fin del Ramadán en el islam.
23/10/2014,Diwali,Hinduismo,"Festival hindú de las luces, que simboliza la victoria del bien sobre el mal."
14/05/2014,Vesak,Budismo,"Celebración budista del nacimiento, iluminación y muerte de Buda."
01/01/2015,Año Nuevo,Nacional,Celebración del primer día del año según el calendario gregoriano.
04/07/2015,Día de la Independencia,Nacional,Conmemoración de la independencia de EE.UU. en 1776.
11/11/2015,Día de los Veteranos,Nacional,Honra a los veteranos de las Fuerzas Armadas de EE.UU.
25/12/2015,Navidad,Nacional,Fiesta cristiana que celebra el nacimiento de Jesús.
17/03/2015,Día de San Patricio,Nacional,"Fiesta en honor a San Patricio, patrón de Irlanda."
19/06/2015,Juneteenth,Nacional,Conmemoración del fin de la esclavitud en EE.UU. en 1865.
19/01/2015,Día de Martin Luther King Jr.,Nacional,Honra al líder de los derechos civiles Martin Luther King Jr.
16/02/2015,Día de los Presidentes,Nacional,Reconocimiento a todos los presidentes de EE.UU.
20/04/2015,Día de los Caídos,Nacional,Honra a los militares estadounidenses fallecidos en servicio.
07/09/2015,Día del Trabajo,Nacional,Reconocimiento a los trabajadores y sus contribuciones.
12/10/2015,Día de Colón,Nacional,Conmemoración de la llegada de Cristóbal Colón a América.
26/11/2015,Día de Acción de Gracias,Nacional,Día de agradecimiento por la cosecha y bendiciones del año.
14/09/2015,Rosh Hashaná,Judaísmo,"Año Nuevo judío, marcado por oración y reflexión."
23/09/2015,Yom Kipur,Judaísmo,"Día del Perdón en el judaísmo, dedicado al ayuno y la oración."
18/06/2015,Ramadán,Islam,Mes sagrado de ayuno y oración para los musulmanes.
17/07/2015,Eid al-Fitr,Islam,Fiesta que marca el fin del Ramadán en el islam.
11/11/2015,Diwali,Hinduismo,"Festival hindú de las luces, que simboliza la victoria del bien sobre el mal."
04/05/2015,Vesak,Budismo,"Celebración budista del nacimiento, iluminación y muerte de Buda."
01/01/2016,Año Nuevo,Nacional,Celebración del primer día del año según el calendario gregoriano.
04/07/2016,Día de la Independencia,Nacional,Conmemoración de la independencia de EE.UU. en 1776.
11/11/2016,Día de los Veteranos,Nacional,Honra a los veteranos de las Fuerzas Armadas de EE.UU.
25/12/2016,Navidad,Nacional,Fiesta cristiana que celebra el nacimiento de Jesús.
17/03/2016,Día de San Patricio,Nacional,"Fiesta en honor a San Patricio, patrón de Irlanda."
19/06/2016,Juneteenth,Nacional,Conmemoración del fin de la esclavitud en EE.UU. en 1865.
18/01/2016,Día de Martin Luther King Jr.,Nacional,Honra al líder de los derechos civiles Martin Luther King Jr.
15/02/2016,Día de los Presidentes,Nacional,Reconocimiento a todos los presidentes de EE.UU.
18/04/2016,Día de los Caídos,Nacional,Honra a los militares estadounidenses fallecidos en servicio.
05/09/2016,Día del Trabajo,Nacional,Reconocimiento a los trabajadores y sus contribuciones.
10/10/2016,Día de Colón,Nacional,Conmemoración de la llegada de Cristóbal Colón a América.
24/11/2016,Día de Acción de Gracias,Nacional,Día de agradecimiento por la cosecha y bendiciones del año.
03/10/2016,Rosh Hashaná,Judaísmo,"Año Nuevo judío, marcado por oración y reflexión."
12/10/2016,Yom Kipur,Judaísmo,"Día del Perdón en el judaísmo, dedicado al ayuno y la oración."
06/06/2016,Ramadán,Islam,Mes sagrado de ayuno y oración para los musulmanes.
06/07/2016,Eid al-Fitr,Islam,Fiesta que marca el fin del Ramadán en el islam.
30/10/2016,Diwali,Hinduismo,"Festival hindú de las luces, que simboliza la victoria del bien sobre el mal."
22/05/2016,Vesak,Budismo,"Celebración budista del nacimiento, iluminación y muerte de Buda."
06/02/2011,Superbowl,Nacional,Final del campeonato de la NFL
05/02/2012,Superbowl,Nacional,Final del campeonato de la NFL
03/02/2013,Superbowl,Nacional,Final del campeonato de la NFL
02/02/2014,Superbowl,Nacional,Final del campeonato de la NFL
01/02/2015,Superbowl,Nacional,Final del campeonato de la NFL
07/02/2016,Superbowl,Nacional,Final del campeonato de la NFL
03/02/2011,Año Nuevo Chino,Chino,Año Nuevo Chino
23/01/2012,Año Nuevo Chino,Chino,Año Nuevo Chino
10/02/2013,Año Nuevo Chino,Chino,Año Nuevo Chino
31/01/2014,Año Nuevo Chino,Chino,Año Nuevo Chino
19/02/2015,Año Nuevo Chino,Chino,Año Nuevo Chino
08/02/2016,Año Nuevo Chino,Chino,Año Nuevo Chino
